"NOM_MUNICI" "COD_MUNICI" "count"
"535" "IPIRANGA DO NORTE" "5104526" 26
"536" "ITANHANGA" "5104542" 61
"537" "ITAUBA" "5104559" 43
"538" "ITIQUIRA" "5104609" 30
"539" "JACIARA" "5104807" 6
"540" "JANGADA" "5104906" 5
"541" "JAURU" "5105002" 9
"542" "JUARA" "5105101" 210
"543" "JUINA" "5105150" 195
"544" "JURUENA" "5105176" 75
"545" "JUSCIMEIRA" "5105200" 14
"546" "LAMBARI D'OESTE" "5105234" 19
"547" "LUCAS DO RIO VERDE" "5105259" 41
"548" "LUCIARA" "5105309" 2
"549" "VILA BELA DA SANTISSIMA TRINDADE" "5105507" 60
"550" "MARCELANDIA" "5105580" 155
"551" "MATUPA" "5105606" 54
"552" "MIRASSOL D'OESTE" "5105622" 6
"553" "NOBRES" "5105903" 4
"554" "NOSSA SENHORA DO LIVRAMENTO" "5106109" 14
"555" "NOVA BANDEIRANTES" "5106158" 207
"556" "NOVA NAZARE" "5106174" 15
"557" "NOVA LACERDA" "5106182" 54
"558" "NOVA SANTA HELENA" "5106190" 6
"559" "NOVA CANAA DO NORTE" "5106216" 20
"560" "NOVA MUTUM" "5106224" 8
"561" "NOVA OLIMPIA" "5106232" 5
"562" "NOVA UBIRATA" "5106240" 112
"563" "NOVA XAVANTINA" "5106257" 6
"564" "NOVO MUNDO" "5106265" 84
"565" "NOVO HORIZONTE DO NORTE" "5106273" 24
"566" "NOVO SAO JOAQUIM" "5106281" 3
"567" "PARANAITA" "5106299" 125
"568" "PARANATINGA" "5106307" 94
"569" "NOVO SANTO ANTONIO" "5106315" 8
"570" "PEDRA PRETA" "5106372" 36
"571" "PEIXOTO DE AZEVEDO" "5106422" 68
"572" "POCONE" "5106505" 16
"573" "PONTAL DO ARAGUAIA" "5106653" 18
"574" "PONTE BRANCA" "5106703" 5
"575" "PONTES E LACERDA" "5106752" 69
"576" "PORTO ALEGRE DO NORTE" "5106778" 22
"577" "PORTO DOS GAUCHOS" "5106802" 56
"578" "PORTO ESPERIDIAO" "5106828" 4
"579" "PORTO ESTRELA" "5106851" 10
"580" "POXOREO" "5107008" 25
"581" "PRIMAVERA DO LESTE" "5107040" 5
"582" "QUERENCIA" "5107065" 308
"583" "SAO JOSE DOS QUATRO MARCOS" "5107107" 5
"584" "RESERVA DO CABACAL" "5107156" 1
"585" "RIBEIRAO CASCALHEIRA" "5107180" 110
"586" "RIO BRANCO" "5107206" 2
"587" "SANTA CARMEM" "5107248" 59
"588" "SANTO AFONSO" "5107263" 1
"589" "SAO JOSE DO POVO" "5107297" 9
"590" "SAO JOSE DO RIO CLARO" "5107305" 37
"591" "SAO JOSE DO XINGU" "5107354" 60
"592" "RONDOLANDIA" "5107578" 80
"593" "RONDONOPOLIS" "5107602" 167
"594" "ROSARIO OESTE" "5107701" 16
"595" "SANTA CRUZ DO XINGU" "5107743" 74
"596" "SALTO DO CEU" "5107750" 3
"597" "SANTA RITA DO TRIVELATO" "5107768" 7
"598" "SANTA TEREZINHA" "5107776" 39
"599" "SANTO ANTONIO DO LEVERGER" "5107800" 29
"600" "SAO FELIX DO ARAGUAIA" "5107859" 100
"601" "SAPEZAL" "5107875" 4
"602" "SERRA NOVA DOURADA" "5107883" 8
"603" "SINOP" "5107909" 179
"604" "SORRISO" "5107925" 44
"605" "TABAPORA" "5107941" 42
